StockName,StockCode,TypeBiz,MainProduct,OriginDate
유나이티드,33270,의약품 제조업,"홈타민 진생연질60C(비타민제),항암제,항생제,순환기계,해열진통제,소화기계약품 제조",2007-10-23
디아이씨,92200,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",2007-10-18
CJ제일제당,97950,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28
팬오션,28670,해상 운송업,"해상화물운송(외항,운수보관)",2007-09-21
한진중공업,97230,토목 건설업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",2007-08-31
JW홀딩스,96760,기타 금융업,의약품 수출입업,2007-07-31
SK이노베이션,96770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25
삼성카드,29780,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",2007-06-27
베트남개발1,96300,신탁업 및 집합투자업,투자신탁,2007-06-13
알루코,1780,1차 비철금속 제조업,"알루미늄제품,샷시 제조",2007-06-07
웅진씽크빅,95720,초등 교육기관,"기타출판 제조/서적,교구,통신판매 도소매/부동산 임대/교구렌탈,컴퓨터운용관련서비스",2007-05-31
맵스리얼티1,94800,신탁업 및 집합투자업,,2007-04-09
메타랩스,90370,봉제의복 제조업,"여성용 의류(캐쥬얼티셔츠,바지) 제조",2006-12-26
후성,93370,기초 화학물질 제조업,"불소화물 제조,도매",2006-12-22
LF,93050,봉제의복 제조업,"기성복, 의류, 잡화, 제조",2006-12-01
주연테크,44380,컴퓨터 및 주변장치 제조업,"각종컴퓨터,주변기기 제조/소프트웨어 개발",2006-11-15
코스맥스비티아이,44820,기타 금융업,"화장품,의약부외품 제조,도매",2006-11-13
인천도시가스,34590,연료용 가스 제조 및 배관공급업,도시가스 공급/가스설비공사,2006-11-07
삼정펄프,9770,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",2006-10-17
KEC,92220,반도체 제조업,반도체 제조,2006-10-16
KPX홀딩스,92230,기초 화학물질 제조업,지주회사,2006-10-12
HDC현대EP,89470,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25
세원셀론텍,91090,"구조용 금속제품, 탱크 및 증기발생기 제조업","화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매",2006-07-31
노루페인트,90350,기타 화학제품 제조업,페인트 제조,2006-07-03
아모레퍼시픽,90430,기타 화학제품 제조업,"화장품,생활용품 제조, 판매",2006-06-29
롯데관광개발,32350,여행사 및 기타 여행보조 서비스업,"국내외여행알선,관광개발,전세운수,항공권매매대행",2006-06-08
평화산업,90080,자동차 신품 부품 제조업,"자동차부품(방진고무,방류고무(COVER류,CUP류),호스류),장비시설용 부품 제조,판매",2006-06-02
우진플라임,49800,특수 목적용 기계 제조업,"플라스틱사출성형기 제조,판매",2006-05-24
신세계I&C,35510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",2006-05-18
진도,88790,기타 전문 도매업,"모피제품 제조,가공",2006-03-28
맥쿼리인프라,88980,신탁업 및 집합투자업,증권투자회사,2006-03-15
롯데쇼핑,23530,종합 소매업,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",2006-02-09
현대글로비스,86280,기타 운송관련 서비스업,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",2005-12-26
티비에이치글로벌,84870,봉제의복 제조업,"캐주얼의류,여성의류,남성의류 제조,도소매",2005-12-19
하나금융지주,86790,기타 금융업,기타 금융,2005-12-12
제일연마,1560,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설",2005-12-09
현대리바트,79430,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",2005-11-22
대한제강,84010,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",2005-10-31
새론오토모티브,75180,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝)",2005-10-21
그린케미칼,83420,기타 화학제품 제조업,"비이온계면활성제 제조,도매",2005-10-20
대상홀딩스,84690,기타 금융업,지주회사,2005-08-17
코아스,71950,가구 제조업,"사무용가구,금속가구 도매,제조",2005-08-04
이월드,84680,유원지 및 기타 오락관련 서비스업,"놀이시설 운영,입장료,식음료 소매,부동산 임대",2005-07-26
동양고속,84670,육상 여객 운송업,고속버스 운송/부동산 임대,2005-07-25
한미반도체,42700,특수 목적용 기계 제조업,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",2005-07-22
동일산업,4890,1차 철강 제조업,"봉강,합금철,철근,마봉강,냉간압조용선재,주조,지선,주강,다이아몬드공구 제조,도매",2005-06-30
삼호개발,10960,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",2005-05-12
금호타이어,73240,고무제품 제조업,"타이어,튜브 제조,도매,무역",2005-02-17
CJ CGV,79160,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24
일진다이아,81000,기타 화학제품 제조업,"공업용 합성다이아몬드 제조,도매,수출입",2004-12-22
유니드,14830,기초 화학물질 제조업,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",2004-12-03
상신브레이크,41650,자동차 신품 부품 제조업,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대",2004-10-27
